ProductID,ProductName,AvailableQuantity,MRP,SalePrice,Category,Subcategory,Brand,After Discount,% discount
11528684,Babyhug Stalwart Plug & Play Tricycle with Seat Cover - Teal Blue,1,4395,4395,Baby Gear,Tricycles & Bikes,Babyhug,2461,44
12818106,Babyhug Battery Operated Ride On Car with Music & Lights - Green,1,19995,19995,Baby Gear,Ride-ons & Scooters,Babyhug,0,0
8038630,Babyhug Single Ply Mink Blanket Teddy Print (Color May Vary),1,425,425,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,267,37
11301811,Babyhug Hooded Wrapper Striped - Blue,1,1695,1695,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,1101,35
2158347,Fisher Price Mattress Set Lion & Elephant Print Multi Colour - 4 Pieces,1,1999,1999,Nursery,Baby Bedding Sets & Pillows,Fisher Price By NB,0,0
8038636,Babyhug Single Ply Mink Blanket Geometric Print (Color May Vary),1,425,425,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,267,37
3218773,Babyhug 100% Cotton Hooded Wrapper Bear Print - Orange,1,595,595,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,392,34
14699179,My Milestones 100% Cotton Interlock Hooded Baby Wrapper Apple Print Pack of 2 - Yellow & White,1,1095,1095,Nursery,Blankets  Wrappers & Sleeping Bags,My Milestones,1007,8
14599601,Babyhug Orbit Swing Car with Light & Music - Pink,1,2895,2895,Baby Gear,Ride-ons & Scooters,Babyhug,1795,38
3193992,Babyhug Spring 5 in 1 Carry Cot Cum Rocker With Mosquito Net - Blue,1,3595,3595,Baby Gear,Baby Carrycots,Babyhug,2947,18
11849208,Babyhug Laugh & Learn Multifunctional 2 in 1 Baby Walker With anti Fall Protection & Adjustable Height Without Foot Mat- Light Green & White,1,5995,5995,Baby Gear,Baby Walkers,Babyhug,5995,0
17426904,3 in 1 Baby Horse Rider Kids Ride On Car for Kids Push Ride on Toy with Rocker Push Handle  Rotating Head & Safety Bar - Blue,1,2995,2995,Baby Gear,Ride-ons & Scooters,Fab N Funky,1856,38
11879505,Bonfino Premium Cotton Single Ply Wrapper Set of 2 Transport Print - Blue,1,1049,1049,Nursery,Blankets  Wrappers & Sleeping Bags,Bonfino,660,37
15677764,Babyhug Foldable Storage Bin Baby Astronaut Print- Black,1,499,499,Nursery,Storage & Organization,Babyhug,349,30
3232544,Suction Hooks Ocean Print Pack of 2 (Print & Colour May Vary),1,145,145,Nursery,Storage & Organization,Fab N Funky,68,46
15862912,Babyhug Premium Bronco 3 in 1 Rocking Dino cum Ride on- Yellow| Baby Rocking Horse Ride on Toy for Kids| Push Ride on Toy for Kids 9 Months+| Develop Fine Motor Skills| BIS Certified,1,2495,2495,Baby Gear,Ride-ons & Scooters,Babyhug,1199,51
11849202,Babyhug Unicorn Foldable Baby Walker Cum Rocker With Parent Push Handle & Sun Shade - Brown,1,5995,5995,Baby Gear,Baby Walkers,Babyhug,0,0
3206348,Babyhug Deuce Twin Stroller - Red,1,10995,10995,Baby Gear,Baby Strollers & Prams,Babyhug,,
